Gammarus_size,Food_quality,Replicate,Growth,Growthrate
Small,Low,2,37.33,13.9188638913598000
Small,Low,3,-9.67,-5.42282503908934000
Small,Low,4,2.58,1.2197541042358000
Small,Low,5,14.08,6.17150194828815000
Small,Low,6,14.58,6.36605545933952000
Small,Low,8,20.83,8.67823827738002000
Small,Low,9,32.83,12.5950252207257000
Small,Low,10,-6.17,-3.33828481561307000
Small,Low,11,14.08,6.17150194828815000
Small,Low,13,-4.92,-2.63401289144566000
Small,Low,14,16.58,7.12947355584156000
Small,Low,16,20.08,8.41180591553032000
Small,Low,18,31.08,12.0606537311073000
Small,Low,20,14.08,6.17150194828815000
Small,Intermediate,2,24.08,9.80105219440059000
Small,Intermediate,3,3.58,1.69146621184537000
Small,Intermediate,4,24.08,9.80105219440059000
Small,Intermediate,7,12.83,5.67838931459368000
Small,Intermediate,8,47.08,16.5671993268809000
Small,Intermediate,9,3.83,1.80801653949065000
Small,Intermediate,10,23.83,9.71644974479458000
Small,Intermediate,11,35.83,13.4853270154476000
Small,Intermediate,12,18.33,7.77886071592308000
Small,Intermediate,14,20.33,8.50093256964273000
Small,Intermediate,16,11.33,5.07352109991726000
Small,Intermediate,17,32.83,12.5950252207257000
Small,Intermediate,18,3.83,1.80801653949065000
Small,Intermediate,19,24.08,9.80105219440059000
Small,Intermediate,22,9.33,4.24356936467736000
Small,Intermediate,25,-0.42,-0.251258396337536000
Small,Intermediate,26,22.33,9.20273303910989000
Small,Intermediate,27,25.83,10.3853859740333000
Small,High,1,10.33,4.66198917356546000
Small,High,2,29.58,11.5933504058035000
Small,High,3,4.58,2.15444240602631000
Small,High,4,37.58,13.9903946983856000
Small,High,5,24.33,9.88536930636657000
Small,High,6,46.33,16.3731491934937000
Small,High,7,26.08,10.4677583714546000
Small,High,9,18.08,7.68711749369902000
Small,High,10,26.33,10.5498602514844000
Small,High,13,12.83,5.67838931459368000
Small,High,15,35.08,13.2657062765543000
Small,High,16,8.08,3.71050012795683000
Small,High,17,37.33,13.9188638913598000
Small,High,18,25.83,10.3853859740333000
Small,High,20,27.58,10.9563732732789000
Small,High,21,30.33,11.8280939145495000
Small,High,23,28.08,11.1171455315361000
Small,High,27,-5.67,-3.05419084935519000
Small,High,29,8.58,3.92509372024162000
Large,Low,2,1.515,0.470233298937407000
Large,Low,4,-19.485,-7.08678849788593000
Large,Low,5,23.265,6.44932356139724000
Large,Low,6,-26.985,-10.4551033471399000
Large,Low,7,-4.485,-1.46621817703769000
Large,Low,8,39.015,10.0309192999661000
Large,Low,11,-7.735,-2.58132583295654000
Large,Low,13,16.015,4.61072597833798000
Large,Low,14,-20.985,-7.72512104801505000
Large,Low,16,26.515,7.23157751122749000
Large,Low,18,15.015,4.34617324507456000
Large,Low,20,9.765,2.90938939721259000
Large,Low,21,9.265,2.76814608365962000
Large,Low,22,-19.985,-7.29776021403255000
Large,Low,23,13.015,3.80851811455047000
Large,Low,26,-11.735,-4.02577084962683000
Large,Low,27,-21.485,-7.94157261659292000
Large,Low,28,52.015,12.6437367683533000
Large,Low,29,-32.235,-13.1158399183081000
Large,Low,30,22.765,6.32677429639207000
Large,Intermediate,1,-8.735,-2.93468860632916000
Large,Intermediate,2,3.015,0.93178486993079000
Large,Intermediate,3,-1.485,-0.479247902693004000
Large,Intermediate,5,-2.485,-0.803927790863282000
Large,Intermediate,6,3.265,1.00788842946149000
Large,Intermediate,8,44.015,11.0684125726349000
Large,Intermediate,10,-8.735,-2.93468860632916000
Large,Intermediate,11,24.265,6.69263448435302000
Large,Intermediate,14,23.265,6.44932356139724000
Large,Intermediate,15,1.515,0.470233298937407000
Large,Intermediate,16,48.765,12.0156844154198000
Large,Intermediate,17,-11.485,-3.93300636471343000
Large,Intermediate,19,4.515,1.38496948474471000
Large,Intermediate,21,-0.235,-0.0792393690319767000
Large,Intermediate,22,44.015,11.0684125726349000
Large,Intermediate,23,-32.485,-13.2498884968428000
Large,Intermediate,24,21.515,6.01774687580272000
Large,Intermediate,25,-20.235,-7.40391748606883000
Large,Intermediate,27,2.765,0.855448932758531000
Large,Intermediate,28,10.015,2.97971293162796000
Large,Intermediate,30,13.015,3.80851811455047000
Large,High,2,49.515,12.1620262967063000
Large,High,3,18.765,5.32413365996134000
Large,High,5,16.015,4.61072597833798000
Large,High,6,-10.985,-3.74850368227287000
Large,High,7,39.765,10.1893147611932000
Large,High,8,35.265,9.22352943268231000
Large,High,9,19.015,5.38799065508876000
Large,High,11,-11.485,-3.93300636471343000
Large,High,12,-23.235,-8.71426105316983000
Large,High,13,1.765,0.547752740893608000
Large,High,17,-5.235,-1.71917143117731000
Large,High,18,-5.485,-1.80406115620576000
Large,High,19,33.765,8.89312814789416000
Large,High,20,22.765,6.32677429639207000
Large,High,22,17.015,4.87250847502037000
Large,High,23,62.765,14.615427253521000
Large,High,24,22.515,6.26527365037051000
Large,High,26,27.515,7.46742831706146000
Large,High,27,17.265,4.9375280175218000
Large,High,28,21.015,5.89305833802675000
Large,High,29,27.515,7.46742831706146000