Food_quality,Run,ALAC,CLAQ,NELU
Intermediate,1,1.80408884963783,0.00395566926387813,0.223599131257128
Intermediate,1,0.115118172999151,0.000341467689329539,0.223103667429224
Intermediate,1,NA,0.0910792299957571,0.140114302918249
High,1,1.09629256489441,0.0833309142133231,0.0485741750431871
High,1,1.34536261692212,0.0396664752302769,0.061397677183342
High,1,NA,0.273689329316739,NA
Intermediate,2,0.0409603993308891,0.0724297543544829,0.154088842319211
Intermediate,2,0.0540438752085504,0.0307548325068125,0.06725721827357
Intermediate,2,0.17969939954182,0.0221321980807094,0.172995582759739
High,2,1.0791811616118,0.077093296359112,0.0278314485853779
High,2,1.07866991903309,0.0168566680201291,0.0723545373842725
High,2,1.94167657634365,0.0282461565361957,0.0669221202705683
Intermediate,3,0.374478769282504,0.0506652503610366,0.119617037195092
Intermediate,3,1.57705874631121,0.0186688058537551,0.0631974561594842
Intermediate,3,0.378510040259766,0.0250740077157215,0.0382816131933797
High,3,2.26291499223433,0.12275292253057,0.0937278525764074
High,3,1.88507870299113,0.0245114697989081,0.0313024565806793
High,3,0.955016967299266,0.166750159192625,0.0553454132304681
Intermediate,4,1.26051029456984,NA,0.0600002357359288
Intermediate,4,0.214846377448607,0.022258103049256,0.0181586324219302
Intermediate,4,0.239652840070847,0.0285684423762011,0.0416085105889478
High,4,2.09705848196327,0.0284068424037847,0.0386075239542174
High,4,0.616160301896636,NA,0.050570574126388
High,4,1.78035627778649,0.0978335535616812,0.0463335646904614